K,topic_id,topic_label,frex_words,prob_words,representative_titles
10,0,"FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa","styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal","species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish","Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa"
10,1,"FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java","lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex","lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab",Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java
10,2,"FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan","temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk","mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia","The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
10,3,"FREX: taels, tax, chehkiang, tael, land_tax, tls, drought, salt, guild, cheo | Prob: taels, summer, salt, cash, silver, cheo, province, road, land, spring | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; Salt administration of Ssuch'uan, The; The Salt revenue of China","taels, tax, chehkiang, tael, land_tax, tls, drought, salt, guild, cheo","taels, summer, salt, cash, silver, cheo, province, road, land, spring","Droughts in China, A. D. 620-1643; Chinese revenue; Salt administration of Ssuch'uan, The; The Salt revenue of China"
10,4,"FREX: porcelain, coins, obverse, coin, musical, musical_instruments, wares, bronze, coinage, instrument | Prob: inches, coins, reverse, porcelain, black, copper, cash, white, characters, instruments | Representative: Music of China, The *; Chinese ideas of antiques; Wei - ch ' i *; Short sketch of the Chinese game of chess, Seang - kh'e, A *","porcelain, coins, obverse, coin, musical, musical_instruments, wares, bronze, coinage, instrument","inches, coins, reverse, porcelain, black, copper, cash, white, characters, instruments","Music of China, The *; Chinese ideas of antiques; Wei - ch ' i *; Short sketch of the Chinese game of chess, Seang - kh'e, A *"
10,5,"FREX: treaty, portuguese, magistrate, chinese_law, commissioners, president, foreigners, settlement, code, forts | Prob: government, law, foreign, shanghai, sent, shall, peking, emperor, soon, family | Representative: Recollections of China prior to 1840; Retrospect of events in China and Japan, 1869, 1870; Retrospect of events in China and Japan, 1868; Some new light on the life and times of Bishop Della Chiesa","treaty, portuguese, magistrate, chinese_law, commissioners, president, foreigners, settlement, code, forts","government, law, foreign, shanghai, sent, shall, peking, emperor, soon, family","Recollections of China prior to 1840; Retrospect of events in China and Japan, 1869, 1870; Retrospect of events in China and Japan, 1868; Some new light on the life and times of Bishop Della Chiesa"
10,6,"FREX: yuan_shi, mohammed, khan, annam, tong_king, tom, rashid, prophet, garnier, polo | Prob: king, emperor, city, yuan, shi, son, sent, century, mongol, khan | Representative: Notices of the mediaeval geography and history of Central and Western Asia *; Corea; The Intercourse of China with Central and Western Asia in the Second Century B.C.; Narrative of recent events in Tong - king","yuan_shi, mohammed, khan, annam, tong_king, tom, rashid, prophet, garnier, polo","king, emperor, city, yuan, shi, son, sent, century, mongol, khan",Notices of the mediaeval geography and history of Central and Western Asia *; Corea; The Intercourse of China with Central and Western Asia in the Second Century B.C.; Narrative of recent events in Tong - king
10,7,"FREX: virtue, heaven, love, filial, confucius, destiny, god, doctrine, sacrifice, mencius | Prob: heaven, emperor, nature, confucius, god, king, death, moon, things, world | Representative: Destiny, fate; Operations and manifestations of the Tao exemplified in history, The; Notices of the character and writings of Meh tsi; Religious element in the Tso Chuan, The","virtue, heaven, love, filial, confucius, destiny, god, doctrine, sacrifice, mencius","heaven, emperor, nature, confucius, god, king, death, moon, things, world","Destiny, fate; Operations and manifestations of the Tao exemplified in history, The; Notices of the character and writings of Meh tsi; Religious element in the Tso Chuan, The"
10,8,"FREX: tungus, goldi, peoples, phonetic, myth, languages, sanscrit, egypt, greek, dialects | Prob: language, characters, modern, word, manchu, century, tungus, words, origin, northern | Representative: Northern Tungus migrations in the Far East; Sramana - Shaman; Limitations of comparative philology, On the; Did ancient Chinese culture come from Egypt ?","tungus, goldi, peoples, phonetic, myth, languages, sanscrit, egypt, greek, dialects","language, characters, modern, word, manchu, century, tungus, words, origin, northern","Northern Tungus migrations in the Far East; Sramana - Shaman; Limitations of comparative philology, On the; Did ancient Chinese culture come from Egypt ?"
10,9,"FREX: pagoda, village, mile, channel, limestone, miles, left_bank, feet_high, gorge, bed | Prob: river, feet, miles, city, shan, hills, bank, temple, island, journey | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal; Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; Notes made on a tour through Shan - hsi and Shen - hsi","pagoda, village, mile, channel, limestone, miles, left_bank, feet_high, gorge, bed","river, feet, miles, city, shan, hills, bank, temple, island, journey","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal; Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; Notes made on a tour through Shan - hsi and Shen - hsi"
