K,topic_id,topic_label,frex_words,prob_words,representative_titles
20,0,"FREX: styan, kiangyin, swinhoe, alligator, genus, chinkiang, pall, flying_fish, temm, bird | Prob: genus, species, birds, bird, chinkiang, winter, family, fish, styan, black | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916","styan, kiangyin, swinhoe, alligator, genus, chinkiang, pall, flying_fish, temm, bird","genus, species, birds, bird, chinkiang, winter, family, fish, styan, black","Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916"
20,1,"FREX: lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan | Prob: lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio | Representative: Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China","lour, china_cochin, linn, danes, folio, tab, foliis, martini, osbeck, chusan","lour, linn, sin, cochin, canton, tab, plant, china_cochin, plants, folio",Early European researches into the flora of China; Contribution to the nomenclature of Chinese plants; Chinese names of plants; Bamboos in China
20,2,"FREX: magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk | Prob: temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan","magnetic, temperature, victoria, magnetism, amoor, vapour, eastern_asia, continent, currents, nerchinsk","temperature, mean, asia, eastern, annual, sea, peking, observations, eastern_asia, table","The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan"
20,3,"FREX: tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads | Prob: summer, taels, salt, road, spring, drought, cheo, land, autumn, tax | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The","tax, chehkiang, land_tax, drought, salt, likin, fuhkien, remitted, cheo, roads","summer, taels, salt, road, spring, drought, cheo, land, autumn, tax","Droughts in China, A. D. 620-1643; Chinese revenue; The Salt revenue of China; Salt administration of Ssuch'uan, The"
20,4,"FREX: wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell | Prob: inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain | Representative: Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work","wares, musical, musical_instruments, chinese_musical_instruments, chinese_musical, instrument, instruments, holes, games, bell","inches, instruments, instrument, wood, musical, bamboo, colour, foot, wares, porcelain","Music of China, The *; Chinese ideas of antiques; Short notes on Chinese instruments of music *; Chinese Embroidery and Other Art Textile Work"
20,5,"FREX: leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle | Prob: leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white | Representative: Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names","leaflets, ventral, ovate, slender, glabrous, tibetan, hairs, apex, pagodas, bristle","leaves, species, flowers, tibetan, tai, slender, base, tibet, lower, white","Shantung foraminifera; Then and now; Oribatoidea Sinensis, Part III; The Family names"
20,6,"FREX: garnier, tong_king, prophet, moslems, noi, moslem, mohammed, nous, hua_ching, bishop | Prob: king, son, mohammed, tong, les, prophet, religion, tong_king, garnier, bishop | Representative: Narrative of recent events in Tong - king; Corea; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Retrospect of events in China, 1873","garnier, tong_king, prophet, moslems, noi, moslem, mohammed, nous, hua_ching, bishop","king, son, mohammed, tong, les, prophet, religion, tong_king, garnier, bishop","Narrative of recent events in Tong - king; Corea; Legends of the ancient Mazdayacnian prophets, and the story of Zoroaster; Retrospect of events in China, 1873"
20,7,"FREX: myth, lunar, sanscrit, aryan, parthia, exogamy, jupiter, calendar, cycle, stars | Prob: king, modern, chow, sun, indian, origin, india, language, moon, word | Representative: A Comparative table of the ancient lunar asterisms; The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""; THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history","myth, lunar, sanscrit, aryan, parthia, exogamy, jupiter, calendar, cycle, stars","king, modern, chow, sun, indian, origin, india, language, moon, word","A Comparative table of the ancient lunar asterisms; The Ancient language and cult of the Chows ; critical and exegetical notes on the "" Shi- king ""; THE CHINESE CALENDAR: ITS ORIGIN, HISTORY AND CONNECTIONS.; Short notes on the identification of the Yue - ti and Kiang tribes of ancient Chinese history"
20,8,"FREX: tungus, orn, goldi, skvortzow, length_breadth, zool, north_manchuria, manchuria, breadth, harbin | Prob: manchuria, tungus, length, breadth, northern, goldi, rice, length_breadth, fruits, russian | Representative: Partial bibliography of Chinese birds, A; Corea; Northern Tungus migrations in the Far East; Recent research upon the mammalia of North China","tungus, orn, goldi, skvortzow, length_breadth, zool, north_manchuria, manchuria, breadth, harbin","manchuria, tungus, length, breadth, northern, goldi, rice, length_breadth, fruits, russian","Partial bibliography of Chinese birds, A; Corea; Northern Tungus migrations in the Far East; Recent research upon the mammalia of North China"
20,9,"FREX: left_bank, channel, right_bank, mile, village, bore, keang, gorge, bank, stream | Prob: river, feet, miles, city, bank, journey, stream, hills, island, village | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; The Bore of the Tsien - tang Kiang (Hang - chau Bay); Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal","left_bank, channel, right_bank, mile, village, bore, keang, gorge, bank, stream","river, feet, miles, city, bank, journey, stream, hills, island, village","Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; The Bore of the Tsien - tang Kiang (Hang - chau Bay); Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal"
20,10,"FREX: yuan_shi, khan, rashid, tom, chap, mongols, mongol, central_western, central_western_asia, uigurs | Prob: shi, city, yuan, mongol, khan, emperor, mongols, river, century, polo | Representative: Notices of the mediaeval geography and history of Central and Western Asia *; Notices of Christianity in China. Extracted from Marco Polo *; Elucidations of Marco Polo's travels in North China, drawn from Chinese sources; The Intercourse of China with Central and Western Asia in the Second Century B.C.","yuan_shi, khan, rashid, tom, chap, mongols, mongol, central_western, central_western_asia, uigurs","shi, city, yuan, mongol, khan, emperor, mongols, river, century, polo","Notices of the mediaeval geography and history of Central and Western Asia *; Notices of Christianity in China. Extracted from Marco Polo *; Elucidations of Marco Polo's travels in North China, drawn from Chinese sources; The Intercourse of China with Central and Western Asia in the Second Century B.C."
20,11,"FREX: tombs, tomb, monuments, monument, tablet, architecture, sung_dynasty, inscription, inscriptions, bottles | Prob: stone, sung, ming, han, ang, emperor, ien, ing, yuan, hsi | Representative: ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; The Mystery of Ta - ts ' in; On the Stone figures at Chinese tombs and the offering of living sacrifices; Stone drums of the Chou Dynasty, The *","tombs, tomb, monuments, monument, tablet, architecture, sung_dynasty, inscription, inscriptions, bottles","stone, sung, ming, han, ang, emperor, ien, ing, yuan, hsi","ON THE CHINESE COINS AND SMALL PORCELAIN BOTTLES FOUND IN EGYPT.; The Mystery of Ta - ts ' in; On the Stone figures at Chinese tombs and the offering of living sacrifices; Stone drums of the Chou Dynasty, The *"
20,12,"FREX: destiny, moral, doctrine, duke, virtue, lao_tzu, confucius, sages, mencius, universe | Prob: confucius, nature, heaven, king, tzu, things, mind, music, world, human | Representative: Chinese sophists, The; Chinese chess *; Wei - ch ' i *; Destiny, fate","destiny, moral, doctrine, duke, virtue, lao_tzu, confucius, sages, mencius, universe","confucius, nature, heaven, king, tzu, things, mind, music, world, human","Chinese sophists, The; Chinese chess *; Wei - ch ' i *; Destiny, fate"
20,13,"FREX: altar, hall, eunuchs, incense, eunuch, sacrifice, gods, god, worshipped, magistrate | Prob: emperor, heaven, god, temple, hall, city, dragon, worship, palace, shall | Representative: Chinese poetry and its connotations *; Family law of the Chinese, The; State religion of china during the Manchu Dynasty, The *; Marriage maker, The","altar, hall, eunuchs, incense, eunuch, sacrifice, gods, god, worshipped, magistrate","emperor, heaven, god, temple, hall, city, dragon, worship, palace, shall","Chinese poetry and its connotations *; Family law of the Chinese, The; State religion of china during the Manchu Dynasty, The *; Marriage maker, The"
20,14,"FREX: marriage, husband, parents, children, wife, girls, wear, marry, child, woman | Prob: family, law, children, wife, marriage, women, husband, son, father, death | Representative: The Family law of the Chinese and its comparative relations with that of other nations; The Fish - skin Tartars; Family law of the Chinese, The; Sketches of the Miau - tsze","marriage, husband, parents, children, wife, girls, wear, marry, child, woman","family, law, children, wife, marriage, women, husband, son, father, death","The Family law of the Chinese and its comparative relations with that of other nations; The Fish - skin Tartars; Family law of the Chinese, The; Sketches of the Miau - tsze"
20,15,"FREX: jap, infra, shi_king, hai_king, shuo_wen, shan_hai, eaten, supra, synonym, siebold | Prob: plant, leaves, tree, king, shi, flowers, shu, fruit, plants, family | Representative: Chinese names of plants; Plants from Peitaiho; Java; Corea","jap, infra, shi_king, hai_king, shuo_wen, shan_hai, eaten, supra, synonym, siebold","plant, leaves, tree, king, shi, flowers, shu, fruit, plants, family",Chinese names of plants; Plants from Peitaiho; Java; Corea
20,16,"FREX: library, vols, bithe, chinese_law, student, libraries, languages, manchu, vide, writing | Prob: manchu, art, characters, book, language, words, books, study, works, word | Representative: Can Chinese writing be simplified ?; Western transcription of Chinese, The; Why the sinologue should study manchu ?; Essay on Manchu literature","library, vols, bithe, chinese_law, student, libraries, languages, manchu, vide, writing","manchu, art, characters, book, language, words, books, study, works, word","Can Chinese writing be simplified ?; Western transcription of Chinese, The; Why the sinologue should study manchu ?; Essay on Manchu literature"
20,17,"FREX: treaty, commissioners, ships, settlement, forts, ward, foreigners, treaties, retrospect, party | Prob: government, foreign, emperor, sent, peking, shanghai, japanese, japan, canton, soon | Representative: Recollections of China prior to 1840; Retrospect of events in China and Japan, 1868; Retrospect of events in China and Japan, 1869, 1870; Narrative of the American Embassy to Peking","treaty, commissioners, ships, settlement, forts, ward, foreigners, treaties, retrospect, party","government, foreign, emperor, sent, peking, shanghai, japanese, japan, canton, soon","Recollections of China prior to 1840; Retrospect of events in China and Japan, 1868; Retrospect of events in China and Japan, 1869, 1870; Narrative of the American Embassy to Peking"
20,18,"FREX: currency, obverse, coins, coin, coinage, tael, reverse, guild, mint, obverse_reverse | Prob: cash, silver, coins, reverse, currency, copper, obverse, value, gold, coin | Representative: Coins of the Republic of China *; Currency in China *; Coinage of Corea, The *; Coins of the Ta - ts'ing or present dynasty of China *","currency, obverse, coins, coin, coinage, tael, reverse, guild, mint, obverse_reverse","cash, silver, coins, reverse, currency, copper, obverse, value, gold, coin","Coins of the Republic of China *; Currency in China *; Coinage of Corea, The *; Coins of the Ta - ts'ing or present dynasty of China *"
20,19,"FREX: coal, limestone, mineral, rocks, geological, formation, geology, sandstone, strata, desert | Prob: coal, sea, feet, river, miles, rocks, iron, island, mountains, surface | Representative: Notes on the coal and Iron Ore deposits of Central Shansi; A Sketch of the Geology of Quang -tung Province; Researches into the geology of Formosa *; China's petrified sun - rays","coal, limestone, mineral, rocks, geological, formation, geology, sandstone, strata, desert","coal, sea, feet, river, miles, rocks, iron, island, mountains, surface",Notes on the coal and Iron Ore deposits of Central Shansi; A Sketch of the Geology of Quang -tung Province; Researches into the geology of Formosa *; China's petrified sun - rays
