importance_rank,topic_id,importance_score,article_coverage,article_count,topic_size,topic_size_share,interpretability,semantic_coherence,exclusivity,topic_label,topic_words,prob_words
1,7,0.9351616384190988,0.5520446096654275,297,132.1540969328593,0.2456395853770619,0.720903327143415,-21.14975629430069,9.233007199508496,"FREX: virtue, heaven, love, filial, confucius, destiny, god, doctrine, sacrifice, mencius | Prob: heaven, emperor, nature, confucius, god, king, death, moon, things, world | Representative: Destiny, fate; Operations and manifestations of the Tao exemplified in history, The; Notices of the character and writings of Meh tsi; Religious element in the Tso Chuan, The","virtue, heaven, love, filial, confucius, destiny, god, doctrine, sacrifice, mencius, soul, heaven_earth","heaven, emperor, nature, confucius, god, king, death, moon, things, world, earth, spirit"
2,9,0.7425410172729388,0.3884758364312267,209,77.0748968597721,0.1432618900739258,0.7872327673067889,-32.073796006412564,9.718309209042229,"FREX: pagoda, village, mile, channel, limestone, miles, left_bank, feet_high, gorge, bed | Prob: river, feet, miles, city, shan, hills, bank, temple, island, journey | Representative: Sailing directions for the Yang - tsze Kiang, from Woosung to Hankow; Notes on a portion of the old bed of the Yellow River an the water supply of the Grand Canal; Itinerary of a jouney through the Provinces of Hoo - pih, Sze - chuen and Shen - se; Notes made on a tour through Shan - hsi and Shen - hsi","pagoda, village, mile, channel, limestone, miles, left_bank, feet_high, gorge, bed, coal, right_bank","river, feet, miles, city, shan, hills, bank, temple, island, journey, mountain, wall"
3,8,0.5667140685707067,0.466542750929368,251,81.52174075766168,0.1515273991778098,0.5425112592729444,-43.415093301272,9.479992953687184,"FREX: tungus, goldi, peoples, phonetic, myth, languages, sanscrit, egypt, greek, dialects | Prob: language, characters, modern, word, manchu, century, tungus, words, origin, northern | Representative: Northern Tungus migrations in the Far East; Sramana - Shaman; Limitations of comparative philology, On the; Did ancient Chinese culture come from Egypt ?","tungus, goldi, peoples, phonetic, myth, languages, sanscrit, egypt, greek, dialects, lunar, language","language, characters, modern, word, manchu, century, tungus, words, origin, northern, original, works"
4,5,0.4827761431505732,0.4256505576208178,229,75.82318701586557,0.1409352918510512,0.5,-20.260057691179203,8.683459275259107,"FREX: treaty, portuguese, magistrate, chinese_law, commissioners, president, foreigners, settlement, code, forts | Prob: government, law, foreign, shanghai, sent, shall, peking, emperor, soon, family | Representative: Recollections of China prior to 1840; Retrospect of events in China and Japan, 1869, 1870; Retrospect of events in China and Japan, 1868; Some new light on the life and times of Bishop Della Chiesa","treaty, portuguese, magistrate, chinese_law, commissioners, president, foreigners, settlement, code, forts, ward, british","government, law, foreign, shanghai, sent, shall, peking, emperor, soon, family, english, japanese"
5,3,0.4039442408963324,0.1486988847583643,80,25.127970218146316,0.0467062643459968,0.7467142736486783,-37.35664986470726,9.78119060115419,"FREX: taels, tax, chehkiang, tael, land_tax, tls, drought, salt, guild, cheo | Prob: taels, summer, salt, cash, silver, cheo, province, road, land, spring | Representative: Droughts in China, A. D. 620-1643; Chinese revenue; Salt administration of Ssuch'uan, The; The Salt revenue of China","taels, tax, chehkiang, tael, land_tax, tls, drought, salt, guild, cheo, likin, catties","taels, summer, salt, cash, silver, cheo, province, road, land, spring, trade, drought"
6,6,0.3486037959243224,0.2806691449814126,151,41.09301354072467,0.0763810660608265,0.5569349530214536,-46.76004035689044,9.614661416253108,"FREX: yuan_shi, mohammed, khan, annam, tong_king, tom, rashid, prophet, garnier, polo | Prob: king, emperor, city, yuan, shi, son, sent, century, mongol, khan | Representative: Notices of the mediaeval geography and history of Central and Western Asia *; Corea; The Intercourse of China with Central and Western Asia in the Second Century B.C.; Narrative of recent events in Tong - king","yuan_shi, mohammed, khan, annam, tong_king, tom, rashid, prophet, garnier, polo, tong, chap","king, emperor, city, yuan, shi, son, sent, century, mongol, khan, river, ang"
7,4,0.3206134042536274,0.2379182156133829,128,41.91207902048332,0.0779034926031288,0.5547476546073855,-50.53650963091075,9.722986301044092,"FREX: porcelain, coins, obverse, coin, musical, musical_instruments, wares, bronze, coinage, instrument | Prob: inches, coins, reverse, porcelain, black, copper, cash, white, characters, instruments | Representative: Music of China, The *; Chinese ideas of antiques; Wei - ch ' i *; Short sketch of the Chinese game of chess, Seang - kh'e, A *","porcelain, coins, obverse, coin, musical, musical_instruments, wares, bronze, coinage, instrument, chinese_musical, holes","inches, coins, reverse, porcelain, black, copper, cash, white, characters, instruments, pieces, obverse"
8,0,0.255730158932451,0.1431226765799256,77,38.90015347175381,0.0723051179772375,0.560467171113874,-49.99394562643096,9.720215857976498,"FREX: styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal | Prob: species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish | Representative: Collection of birds in the Shanghai Museum, The; Oribatoidea Sinensis, Part III; The Family names; Notes on some new species of birds found on the island of Formosa","styan, skvortzow, orn, zool, length_breadth, ibis, swinhoe, north_manchuria, breadth, dorsal, genus, ovate","species, length, birds, white, genus, leaves, manchuria, flowers, breadth, fish, yellow, rice"
9,2,0.2414297763856422,0.0929368029739776,50,14.62811417910834,0.0271898033068928,0.6471894052271513,-48.04221190383943,9.86680064958858,"FREX: temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk | Prob: mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia | Representative: The Climate of Eastern Asia; Meteorological observations, April - December 1872; Periodical change of terrestrial magnetism *; Meteorological tables, from observations made in Japan","temperature, magnetic, victoria, amoor, latitude, magnetism, vapour, continent, eastern_asia, nerchinsk, hourly, currents","mean, temperature, sea, asia, eastern, annual, observations, peking, table, eastern_asia, northern, winter"
10,1,0.0,0.0446096654275092,24,9.764748003624929,0.0181500892260686,0.446233814700558,-59.63267663215419,9.73955314637919,"FREX: lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex | Prob: lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab | Representative: Early European researches into the flora of China; Chinese names of plants; Contribution to the nomenclature of Chinese plants; Java","lour, chinese_plants, flore, cultivated_china, thbg, kth, fructu, polygonum, chinense, frutex, folia, china_cochin","lour, sin, linn, plant, cochin, canton, plants, tree, leaves, tab, cultivated, china_cochin"
