K,topic_id,rank,theta,master_id,title,author,year,decade,L1,topic_label
25,0,1,0.9995274844403684,,,,1913,1910,Unknown,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,2,0.9993153375144592,MASTER_00323,"Collection of birds in the Shanghai Museum, The","Touche, J. D. D. La",1909,1900,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,3,0.9963847755531162,MASTER_00347,"Collection of Chinese reptiles in the Shanghai Museum, The","Stanley, A.",1914,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,4,0.9893737843651964,,,,1913,1910,Unknown,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,5,0.8045293207584582,MASTER_00017,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,6,0.8039191578705065,MASTER_00017,Notes on some new species of birds found on the island of Formosa,"Swinhoe, R.",1859,1850,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,7,0.7170329184063792,MASTER_00412,"Beginning of the study of the flora and fauna of Soochow and vicinity, A","Gee, N. G.",1919,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,8,0.65347392785393,MASTER_00391,"Some notes on land - birds, including also general remarks on the birds observed at sea on the coast of China in 1916","Laver, H. E.",1918,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,9,0.6364038187753913,MASTER_00560,Preliminary notes on the natural history of Nanking,"Ping, C.",1931,1930,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
25,0,10,0.634601754089097,MASTER_00380,Land birds and others met with at sea off the coast of China in 1915,"Laver, H. E.",1917,1910,Natural Sciences,"FREX: styan, kiangyin, chinkiang, alligator, genus, flying_fish, warbler, swinhoe, dove, soochow | Prob: genus, birds, species, chinkiang, styan, family, bird, winter, fish, white | Representative: Collection of birds in the Shanghai Museum, The; Collection of Chinese reptiles in the Shanghai Museum, The; Notes on some new species of birds found on the island of Formosa; Beginning of the study of the flora and fauna of Soochow and vicinity, A"
